nombre,continente, phone_code
AFGANISTAN,ASIA,93
ALBANIA,EUROPA,355
ALEMANIA,EUROPA,49
ALGERIA,AFRICA,213
ANDORRA,EUROPA,376
ANGOLA,AFRICA,244
ANGUILA,AMERICA,1 264
ANTARTIDA,ANTARTIDA,672
ANTIGUA Y BARBUDA,AMERICA,1 268
ANTILLAS NEERLANDESAS,AMERICA,599
ARABIA SAUDITA,ASIA,966
ARGENTINA,AMERICA,54
ARMENIA,ASIA,374
ARUBA,AMERICA,297
AUSTRALIA,AUSTRALIA Y OCEANIA,61
AUSTRIA,EUROPA,43
AZERBAYAN,ASIA,994
BELGICA,EUROPA,32
BAHAMAS,AMERICA,1 242
BAHREIN,ASIA,973
BANGLADESH,ASIA,880
BARBADOS,AMERICA,1 246
BELICE,AMERICA,501
BENIN,AFRICA,229
BHUTAN,ASIA,975
BIELORRUSIA,EUROPA,375
BIRMANIA,ASIA,95
BOLIVIA,AMERICA,591
BOSNIA Y HERZEGOVINA,EUROPA,387
BOTSUANA,AFRICA,267
BRASIL,AMERICA,55
BRUNEI,ASIA,673
BULGARIA,EUROPA,359
BURKINA FASO,AFRICA,226
BURUNDI,AFRICA,257
CABO VERDE,AFRICA,238
CAMBOYA,ASIA,855
CAMERUN,AFRICA,237
CANADA,AMERICA,1
CHAD,AFRICA,235
CHILE,AMERICA,56
CHINA,ASIA,86
CHIPRE,ASIA,357
CIUDAD DEL VATICANO,EUROPA,39
COLOMBIA,AMERICA,57
COMORAS,AFRICA,269
CONGO,AFRICA,242
CONGO,AFRICA,243
COREA DEL NORTE,ASIA,850
COREA DEL SUR,ASIA,82
COSTA DE MARFIL,AFRICA,225
COSTA RICA,AMERICA,506
CROACIA,EUROPA,385
CUBA,AMERICA,53
DINAMARCA,EUROPA,45
DOMINICA,AMERICA,1 767
ECUADOR,AMERICA,593
EGIPTO,AFRICA,20
EL SALVADOR,AMERICA,503
EMIRATOS ARABES UNIDOS,ASIA,971
ERITREA,AFRICA,291
ESLOVAQUIA,EUROPA,421
ESLOVENIA,EUROPA,386
ESPAÑA,EUROPA,34
ESTADOS UNIDOS DE AMERICA,AMERICA,1
ESTONIA,EUROPA,372
ETIOPIA,AFRICA,251
FILIPINAS,ASIA,63
FINLANDIA,EUROPA,358
FIYI,AUSTRALIA Y OCEANIA,679
FRANCIA,EUROPA,33
GABON,AFRICA,241
GAMBIA,AFRICA,220
GEORGIA,ASIA,995
GHANA,AFRICA,233
GIBRALTAR,EUROPA,350
GRANADA,AMERICA,1 473
GRECIA,EUROPA,30
GROENLANDIA,AMERICA,299
GUADALUPE,AMERICA,
GUAM,AUSTRALIA Y OCEANIA,1 671
GUATEMALA,AMERICA,502
GUAYANA FRANCESA,AMERICA,
GUERNSEY,EUROPA,
GUINEA,AFRICA,224
GUINEA ECUATORIAL,AFRICA,240
GUINEA-BISSAU,AFRICA,245
GUYANA,AMERICA,592
HAITI,AMERICA,509
HONDURAS,AMERICA,504
HONG KONG,ASIA,852
HUNGRIA,EUROPA,36
INDIA,ASIA,91
INDONESIA,ASIA,62
IRAN,ASIA,98
IRAK,ASIA,964
IRLANDA,EUROPA,353
ISLA BOUVET,ANTARTIDA,
ISLA DE MAN,EUROPA,44
ISLA DE NAVIDAD,ASIA,61
ISLA NORFOLK,AUSTRALIA Y OCEANIA,
ISLANDIA,EUROPA,354
ISLAS BERMUDAS,AMERICA,1 441
ISLAS CAIMAN,AMERICA,1 345
ISLAS COCOS (KEELING),ASIA,61
ISLAS COOK,AUSTRALIA Y OCEANIA,682
ISLAS DE ÅLAND,EUROPA,
ISLAS FEROE,EUROPA,298
ISLAS GEORGIAS DEL SUR Y SANDWICH DEL SUR,AMERICA,
ISLAS HEARD Y MCDONALD,ANTARTIDA,
ISLAS MALDIVAS,ASIA,960
ISLAS MALVINAS,AMERICA,500
ISLAS MARIANAS DEL NORTE,AUSTRALIA Y OCEANIA,1 670
ISLAS MARSHALL,AUSTRALIA Y OCEANIA,692
ISLAS PITCAIRN,AUSTRALIA Y OCEANIA,870
ISLAS SALOMON,AUSTRALIA Y OCEANIA,677
ISLAS TURCAS Y CAICOS,AMERICA,1 649
ISLAS ULTRAMARINAS MENORES DE ESTADOS UNIDOS,,
ISLAS VIRGENES BRITANICAS,AMERICA,1 284
ISLAS VIRGENES DE LOS ESTADOS UNIDOS,AMERICA,1 340
ISRAEL,ASIA,972
ITALIA,EUROPA,39
JAMAICA,AMERICA,1 876
JAPON,ASIA,81
JERSEY,EUROPA,
JORDANIA,ASIA,962
KAZAJISTAN,ASIA,7
KENIA,AFRICA,254
KIRGIZSTAN,ASIA,996
KIRIBATI,AUSTRALIA Y OCEANIA,686
KUWAIT,ASIA,965
LIBANO,ASIA,961
LAOS,ASIA,856
LESOTO,AFRICA,266
LETONIA,EUROPA,371
LIBERIA,AFRICA,231
LIBIA,AFRICA,218
LIECHTENSTEIN,EUROPA,423
LITUANIA,EUROPA,370
LUXEMBURGO,EUROPA,352
MEXICO,AMERICA,52
MONACO,EUROPA,377
MACAO,ASIA,853
MACEDÔNIA,EUROPA,389
MADAGASCAR,AFRICA,261
MALASIA,ASIA,60
MALAWI,AFRICA,265
MALI,AFRICA,223
MALTA,EUROPA,356
MARRUECOS,AFRICA,212
MARTINICA,AMERICA,
MAURICIO,AFRICA,230
MAURITANIA,AFRICA,222
MAYOTTE,AFRICA,262
MICRONESIA,AUSTRALIA Y OCEANIA,691
MOLDAVIA,EUROPA,373
MONGOLIA,ASIA,976
MONTENEGRO,EUROPA,382
MONTSERRAT,AMERICA,1 664
MOZAMBIQUE,AFRICA,258
NAMIBIA,AFRICA,264
NAURU,AUSTRALIA Y OCEANIA,674
NEPAL,ASIA,977
NICARAGUA,AMERICA,505
NIGER,AFRICA,227
NIGERIA,AFRICA,234
NIUE,AUSTRALIA Y OCEANIA,683
NORUEGA,EUROPA,47
NUEVA CALEDONIA,AUSTRALIA Y OCEANIA,687
NUEVA ZELANDA,AUSTRALIA Y OCEANIA,64
OMAN,ASIA,968
PAISES BAJOS,EUROPA,31
PAKISTAN,ASIA,92
PALAU,AUSTRALIA Y OCEANIA,680
PALESTINA,ASIA,
PANAMA,AMERICA,507
PAPUA NUEVA GUINEA,AUSTRALIA Y OCEANIA,675
PARAGUAY,AMERICA,595
PERU,AMERICA,51
POLINESIA FRANCESA,AUSTRALIA Y OCEANIA,689
POLONIA,EUROPA,48
PORTUGAL,EUROPA,351
PUERTO RICO,AMERICA,1
QATAR,ASIA,974
REINO UNIDO,EUROPA,44
REPUBLICA CENTROAFRICANA,AFRICA,236
REPUBLICA CHECA,EUROPA,420
REPUBLICA DOMINICANA,AMERICA,1 809
REUNION,AFRICA,
RUANDA,AFRICA,250
RUMANIA,EUROPA,40
RUSIA,EUROPA,7
SAHARA OCCIDENTAL,AFRICA,
SAMOA,AUSTRALIA Y OCEANIA,685
SAMOA AMERICANA,AUSTRALIA Y OCEANIA,1 684
SAN BARTOLOME,AMERICA,590
SAN CRISTOBAL Y NIEVES,AMERICA,1 869
SAN MARINO,EUROPA,378
SAN MARTIN (FRANCIA),AMERICA,1 599
SAN PEDRO Y MIQUELON,AMERICA,508
SAN VICENTE Y LAS GRANADINAS,AMERICA,1 784
SANTA ELENA,AFRICA,290
SANTA LUCIA,AMERICA,1 758
SANTO TOME Y PRINCIPE,AFRICA,239
SENEGAL,AFRICA,221
SERBIA,EUROPA,381
SEYCHELLES,AFRICA,248
SIERRA LEONA,AFRICA,232
SINGAPUR,ASIA,65
SIRIA,ASIA,963
SOMALIA,AFRICA,252
SRI LANKA,ASIA,94
SUDAFRICA,AFRICA,27
SUDAN,AFRICA,249
SUECIA,EUROPA,46
SUIZA,EUROPA,41
SURINAM,AMERICA,597
SVALBARD Y JAN MAYEN,EUROPA,
SWAZILANDIA,AFRICA,268
TADJIKISTAN,ASIA,992
TAILANDIA,ASIA,66
TAIWAN,ASIA,886
TANZANIA,AFRICA,255
TERRITORIO BRITANICO DEL OCEANO INDICO,,
TERRITORIOS AUSTRALES Y ANTARTICAS FRANCESES,,
TIMOR ORIENTAL,ASIA,670
TOGO,AFRICA,228
TOKELAU,AUSTRALIA Y OCEANIA,690
TONGA,AUSTRALIA Y OCEANIA,676
TRINIDAD Y TOBAGO,AMERICA,1 868
TUNEZ,AFRICA,216
TURKMENISTAN,ASIA,993
TURQUIA,ASIA,90
TUVALU,AUSTRALIA Y OCEANIA,688
UCRANIA,EUROPA,380
UGANDA,AFRICA,256
URUGUAY,AMERICA,598
UZBEKISTAN,ASIA,998
VANUATU,AUSTRALIA Y OCEANIA,678
VENEZUELA,AMERICA,58
VIETNAM,ASIA,84
WALLIS Y FUTUNA,AUSTRALIA Y OCEANIA,681
YEMEN,ASIA,967
YIBUTI,AFRICA,253
ZAMBIA,AFRICA,260
ZIMBABUE,AFRICA,263
